
2025/02/21 (07:27:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/21 (07:27:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/21 (07:27:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/21 (07:27:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/21 (07:28:02) | ===> btop++ v.1.4.0
2025/02/21 (07:28:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/21 (07:28:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/21 (07:28:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/21 (07:28:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/21 (07:28:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (07:20:24) | ===> btop++ v.1.4.0
2025/02/23 (07:20:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (07:20:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (07:20:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (07:20:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (07:20:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (20:37:28) | ===> btop++ v.1.4.0
2025/02/23 (20:37:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (20:37:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (20:37:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (20:37:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (20:37:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (20:40:56) | ===> btop++ v.1.4.0
2025/02/23 (20:40:56) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (20:40:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (20:40:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (20:40:56) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (20:40:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/27 (18:38:45) | ===> btop++ v.1.4.0
2025/02/27 (18:38:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/27 (18:38:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/27 (18:38:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/27 (18:38:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/27 (18:38:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (09:54:58) | ===> btop++ v.1.4.0
2025/03/01 (09:54:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/01 (09:54:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (09:54:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/01 (09:54:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/01 (09:54:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

